,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_category,rental_term,host_type
148,Pasing-Obermenzing,48.16922,11.48143,Private room,55.0,3,0,1,355,0,Low price,Long term,Private host
149,Schwanthalerhöhe,48.13768,11.54852,Entire home/apt,73.0,90,26,2,296,0,Low price,Long term,Commercial host
150,Au-Haidhausen,48.12266,11.57356,Entire home/apt,60.0,150,11,1,365,0,Low price,Long term,Private host
151,Maxvorstadt,48.15267,11.56491,Entire home/apt,146.0,3,247,1,321,40,Middle price,Long term,Private host
152,Au-Haidhausen,48.12136,11.59018,Private room,33.0,3,0,1,365,0,Low price,Long term,Private host
153,Berg am Laim,48.1225,11.62644,Entire home/apt,110.0,6,94,1,313,6,Middle price,Long term,Private host
154,Altstadt-Lehel,48.13681,11.58743,Private room,60.0,1,8,1,355,6,Low price,Long term,Private host
155,Au-Haidhausen,48.12724,11.60218,Private room,39.0,3,128,2,3,0,Low price,Short term,Commercial host
156,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10049,11.53181,Entire home/apt,47.0,180,22,1,268,0,Low price,Long term,Private host
157,Maxvorstadt,48.15117,11.56516,Entire home/apt,78.0,7,37,1,349,0,Low price,Long term,Private host
158,Bogenhausen,48.14213,11.60509,Private room,58.0,1,20,1,106,0,Low price,Medium term,Private host
159,Schwabing-West,48.16025,11.57744,Entire home/apt,129.0,2,1,1,364,0,Middle price,Long term,Private host
160,Au-Haidhausen,48.13158,11.59694,Entire home/apt,118.0,3,19,1,39,6,Middle price,Short term,Private host
161,Moosach,48.17169,11.50316,Entire home/apt,79.0,2,8,1,363,0,Low price,Long term,Private host
162,Ludwigsvorstadt-Isarvorstadt,48.12637,11.55745,Private room,39.0,2,326,2,21,27,Low price,Short term,Commercial host
163,Maxvorstadt,48.15229,11.56408,Private room,69.0,1,275,1,363,11,Low price,Long term,Private host
164,Ludwigsvorstadt-Isarvorstadt,48.12794,11.55787,Private room,39.0,2,209,2,21,24,Low price,Short term,Commercial host
165,Maxvorstadt,48.15119,11.56647,Private room,48.0,3,36,1,208,4,Low price,Long term,Private host
166,Sendling-Westpark,48.12184,11.5341,Entire home/apt,35.0,60,35,2,162,2,Low price,Medium term,Commercial host
167,Schwanthalerhöhe,48.13511,11.54534,Entire home/apt,229.0,4,60,1,0,3,High price,Short term,Private host
168,Ludwigsvorstadt-Isarvorstadt,48.12392,11.55129,Entire home/apt,450.0,4,16,6,269,0,High price,Long term,Commercial host
169,Maxvorstadt,48.15675,11.56335,Entire home/apt,112.0,3,41,1,359,5,Middle price,Long term,Private host
170,Ludwigsvorstadt-Isarvorstadt,48.12882,11.5746,Entire home/apt,91.0,7,4,1,267,0,Middle price,Long term,Private host
171,Pasing-Obermenzing,48.14411,11.47403,Entire home/apt,31.0,90,1,1,267,1,Low price,Long term,Private host
172,Tudering-Riem,48.13359,11.68767,Entire home/apt,99.0,3,178,2,221,11,Middle price,Long term,Commercial host
173,Tudering-Riem,48.1338,11.68832,Entire home/apt,99.0,3,156,2,285,9,Middle price,Long term,Commercial host
174,Maxvorstadt,48.14143,11.56165,Entire home/apt,99.0,1,274,4,310,14,Middle price,Long term,Commercial host
175,Maxvorstadt,48.14155,11.56007,Entire home/apt,99.0,1,297,4,316,10,Middle price,Long term,Commercial host
176,Bogenhausen,48.13905,11.60826,Entire home/apt,120.0,1,523,11,228,68,Middle price,Long term,Commercial host
177,Berg am Laim,48.1208,11.63745,Entire home/apt,135.0,2,123,2,52,3,Middle price,Short term,Commercial host
178,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10459,11.54521,Private room,22.0,31,126,1,216,0,Low price,Long term,Private host
179,Sendling,48.12278,11.54694,Private room,75.0,1,44,6,346,0,Low price,Long term,Commercial host
