,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_category,rental_term,host_type
2335,Ramersdorf-Perlach,48.111755,11.617298,Entire home/apt,64.0,25,13,33,0,0,Low price,Short term,Commercial host
2336,Schwabing-Freimann,48.17399,11.58556,Entire home/apt,79.0,2,31,1,173,9,Low price,Medium term,Private host
2337,Neuhausen-Nymphenburg,48.15382,11.53842,Entire home/apt,300.0,14,7,3,90,0,High price,Short term,Commercial host
2338,Ramersdorf-Perlach,48.11044,11.60327,Private room,320.0,6,3,1,90,0,High price,Short term,Private host
2339,Schwabing-West,48.16124,11.57438,Entire home/apt,108.0,2,17,1,0,0,Middle price,Short term,Private host
2340,Milbertshofen-Am Hart,48.18853,11.56413,Entire home/apt,84.0,2,2,1,0,0,Middle price,Short term,Private host
2341,Sendling-Westpark,48.11272,11.52381,Entire home/apt,70.0,7,1,1,51,0,Low price,Short term,Private host
2342,Sendling-Westpark,48.11443,11.52638,Private room,45.0,31,7,1,0,0,Low price,Short term,Private host
2343,Schwabing-West,48.16274,11.56757,Private room,62.0,5,11,3,360,2,Low price,Long term,Commercial host
2344,Sendling-Westpark,48.11698,11.53024,Private room,59.0,1,10,5,84,10,Low price,Short term,Commercial host
2345,Schwabing-Freimann,48.16904,11.58532,Entire home/apt,300.0,5,7,1,86,0,High price,Short term,Private host
2346,Sendling-Westpark,48.12548,11.51765,Private room,70.0,2,2,1,90,0,Low price,Short term,Private host
2347,Pasing-Obermenzing,48.15,11.46969,Entire home/apt,27.0,95,7,1,0,0,Low price,Short term,Private host
2348,Sendling-Westpark,48.11698,11.53024,Private room,78.0,1,7,5,146,3,Low price,Medium term,Commercial host
2349,Sendling-Westpark,48.11698,11.53024,Private room,81.0,1,6,5,155,4,Middle price,Medium term,Commercial host
2350,Sendling-Westpark,48.11815,11.53092,Private room,111.0,1,5,5,117,1,Middle price,Medium term,Commercial host
2351,Sendling-Westpark,48.11756,11.53097,Private room,141.0,1,1,5,159,0,Middle price,Medium term,Commercial host
2352,Milbertshofen-Am Hart,48.18898,11.57229,Entire home/apt,55.0,1,5,1,364,0,Low price,Long term,Private host
2353,Sendling-Westpark,48.1202,11.51524,Entire home/apt,325.0,2,2,2,267,0,High price,Long term,Commercial host
2354,Sendling-Westpark,48.11223,11.53068,Entire home/apt,92.0,7,8,1,89,2,Middle price,Short term,Private host
2355,Au-Haidhausen,48.12289,11.57486,Entire home/apt,215.0,4,2,1,141,0,High price,Medium term,Private host
2356,Maxvorstadt,48.15258,11.56251,Private room,70.0,1,58,2,163,8,Low price,Medium term,Commercial host
2357,Ramersdorf-Perlach,48.097,11.65015,Entire home/apt,98.0,5,24,1,263,7,Middle price,Long term,Private host
2358,Neuhausen-Nymphenburg,48.15587,11.52083,Entire home/apt,85.0,60,15,1,85,0,Middle price,Short term,Private host
2359,Au-Haidhausen,48.12736,11.58536,Entire home/apt,145.0,7,41,2,21,0,Middle price,Short term,Commercial host
2360,Bogenhausen,48.15303,11.62133,Entire home/apt,90.0,2,10,1,0,1,Middle price,Short term,Private host
2361,Ludwigsvorstadt-Isarvorstadt,48.12569,11.57224,Entire home/apt,120.0,2,14,1,0,0,Middle price,Short term,Private host
2362,Obergiesing,48.11663,11.57947,Private room,41.0,14,8,1,0,0,Low price,Short term,Private host
2363,Schwabing-Freimann,48.17179,11.60148,Private room,60.0,2,1,1,0,0,Low price,Short term,Private host
2364,Berg am Laim,48.13211,11.629,Private room,48.0,2,13,1,83,6,Low price,Short term,Private host
2365,Laim,48.14041,11.52042,Private room,35.0,1,28,8,343,6,Low price,Long term,Commercial host
2366,Sendling,48.12479,11.53899,Entire home/apt,90.0,2,13,1,0,0,Middle price,Short term,Private host
2367,Bogenhausen,48.17264,11.64127,Private room,51.0,2,33,1,87,10,Low price,Short term,Private host
2368,Ludwigsvorstadt-Isarvorstadt,48.1212,11.56112,Entire home/apt,72.0,2,11,1,0,0,Low price,Short term,Private host
2369,Au-Haidhausen,48.12887,11.60442,Hotel room,226.0,1,3,7,129,0,High price,Medium term,Commercial host
2370,Altstadt-Lehel,48.13802,11.58796,Entire home/apt,55.0,30,2,1,100,0,Low price,Medium term,Private host
2371,Schwabing-Freimann,48.17633,11.58552,Entire home/apt,116.0,2,4,1,0,0,Middle price,Short term,Private host
2372,Pasing-Obermenzing,48.17118,11.46689,Private room,50.0,2,1,1,179,0,Low price,Medium term,Private host
2373,Neuhausen-Nymphenburg,48.15609,11.53146,Entire home/apt,200.0,5,0,1,168,0,High price,Medium term,Private host
2374,Maxvorstadt,48.14975,11.5553,Entire home/apt,120.0,13,4,1,357,1,Middle price,Long term,Private host
2375,Pasing-Obermenzing,48.14757,11.45635,Entire home/apt,106.0,2,67,1,84,18,Middle price,Short term,Private host
2376,Neuhausen-Nymphenburg,48.15447,11.53424,Entire home/apt,65.0,5,9,1,55,6,Low price,Short term,Private host
2377,Schwabing-Freimann,48.16294,11.58444,Private room,119.0,1,2,3,306,2,Middle price,Long term,Commercial host
2378,Sendling,48.1187,11.54315,Entire home/apt,51.0,2,64,1,2,25,Low price,Short term,Private host
2379,Ludwigsvorstadt-Isarvorstadt,48.12935,11.56017,Private room,199.0,2,1,1,89,0,Middle price,Short term,Private host
2380,Sendling,48.1216,11.54749,Entire home/apt,68.0,3,9,2,0,2,Low price,Short term,Commercial host
2381,Milbertshofen-Am Hart,48.18631,11.56885,Private room,55.0,15,1,2,364,0,Low price,Long term,Commercial host
2382,Au-Haidhausen,48.11939,11.57818,Private room,250.0,1,2,3,0,0,High price,Short term,Commercial host
2383,Sendling-Westpark,48.11336,11.52989,Entire home/apt,43.0,90,4,2,145,0,Low price,Medium term,Commercial host
2384,Maxvorstadt,48.15046,11.57646,Entire home/apt,131.0,2,23,1,2,6,Middle price,Short term,Private host
2385,Altstadt-Lehel,48.14091,11.58796,Entire home/apt,144.0,2,4,1,0,0,Middle price,Short term,Private host
2386,Untergiesing-Harlaching,48.11824,11.57613,Entire home/apt,80.0,3,24,1,4,0,Middle price,Short term,Private host
2387,Moosach,48.18799,11.50441,Entire home/apt,70.0,30,10,1,82,0,Low price,Short term,Private host
2388,Maxvorstadt,48.14693,11.55789,Entire home/apt,96.0,2,9,1,0,0,Middle price,Short term,Private host
2389,Aubing-Lochhausen-Langwied,48.13768,11.4234,Private room,57.0,3,7,1,0,1,Low price,Short term,Private host
2390,Tudering-Riem,48.12828,11.70007,Entire home/apt,65.0,3,2,1,0,0,Low price,Short term,Private host
2391,Milbertshofen-Am Hart,48.18762,11.54274,Hotel room,64.0,15,3,6,274,0,Low price,Long term,Commercial host
2392,Maxvorstadt,48.15443,11.57495,Entire home/apt,107.0,2,19,1,0,0,Middle price,Short term,Private host
2393,Obergiesing,48.11661,11.57951,Entire home/apt,150.0,4,0,3,88,0,Middle price,Short term,Commercial host
2394,Obergiesing,48.11835,11.58087,Entire home/apt,150.0,4,0,3,88,0,Middle price,Short term,Commercial host
2395,Pasing-Obermenzing,48.16464,11.48675,Private room,49.0,6,1,8,364,0,Low price,Long term,Commercial host
2396,Obergiesing,48.11645,11.57934,Entire home/apt,210.0,4,1,3,88,0,High price,Short term,Commercial host
2397,Schwabing-Freimann,48.16674,11.58705,Entire home/apt,240.0,1,0,1,365,0,High price,Long term,Private host
2398,Ludwigsvorstadt-Isarvorstadt,48.12671,11.55097,Entire home/apt,85.0,2,3,1,142,0,Middle price,Medium term,Private host
2399,Maxvorstadt,48.15184,11.57548,Entire home/apt,96.0,2,4,1,0,0,Middle price,Short term,Private host
2400,Au-Haidhausen,48.12632,11.59857,Entire home/apt,78.0,5,53,1,27,11,Low price,Short term,Private host
2401,Schwabing-West,48.16206,11.555,Entire home/apt,126.0,2,0,1,0,0,Middle price,Short term,Private host
2402,Pasing-Obermenzing,48.14523,11.47712,Entire home/apt,140.0,22,3,1,0,0,Middle price,Short term,Private host
2403,Schwabing-West,48.15804,11.56337,Entire home/apt,500.0,5,1,1,365,0,High price,Long term,Private host
2404,Ludwigsvorstadt-Isarvorstadt,48.12963,11.55902,Private room,40.0,14,1,1,0,0,Low price,Short term,Private host
2405,Maxvorstadt,48.1465,11.54385,Entire home/apt,80.0,5,1,1,0,0,Middle price,Short term,Private host
2406,Schwabing-West,48.1616,11.57806,Entire home/apt,100.0,1,1,1,365,0,Middle price,Long term,Private host
2407,Maxvorstadt,48.1515,11.57151,Private room,44.0,1,34,1,89,0,Low price,Short term,Private host
2408,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09459,11.49329,Private room,69.0,7,2,1,0,0,Low price,Short term,Private host
2409,Ramersdorf-Perlach,48.11483,11.60312,Entire home/apt,120.0,2,3,1,0,0,Middle price,Short term,Private host
2410,Ramersdorf-Perlach,48.1221,11.599,Entire home/apt,65.0,2,9,1,0,0,Low price,Short term,Private host
2411,Moosach,48.1795,11.53197,Entire home/apt,44.0,30,8,18,350,2,Low price,Long term,Commercial host
2412,Milbertshofen-Am Hart,48.18838,11.56223,Entire home/apt,78.0,2,2,1,0,0,Low price,Short term,Private host
2413,Sendling,48.10666,11.54288,Entire home/apt,85.0,2,2,1,0,1,Middle price,Short term,Private host
2414,Ramersdorf-Perlach,48.12211,11.60065,Entire home/apt,90.0,2,1,1,0,0,Middle price,Short term,Private host
2415,Maxvorstadt,48.14217,11.55976,Private room,45.0,1,7,2,139,0,Low price,Medium term,Commercial host
2416,Maxvorstadt,48.15515,11.56533,Entire home/apt,260.0,4,25,4,125,10,High price,Medium term,Commercial host
2417,Schwabing-Freimann,48.16214,11.59375,Entire home/apt,856.0,4,1,1,364,0,High price,Long term,Private host
2418,Tudering-Riem,48.13295,11.69865,Entire home/apt,400.0,1,0,1,0,0,High price,Short term,Private host
2419,Schwabing-Freimann,48.17622,11.59733,Entire home/apt,120.0,2,12,1,0,1,Middle price,Short term,Private host
2420,Maxvorstadt,48.15287,11.57468,Entire home/apt,150.0,5,46,3,133,6,Middle price,Medium term,Commercial host
2421,Tudering-Riem,48.09977,11.68756,Entire home/apt,60.0,5,48,1,0,0,Low price,Short term,Private host
2422,Au-Haidhausen,48.12887,11.60442,Hotel room,193.0,1,0,7,126,0,Middle price,Medium term,Commercial host
2423,Maxvorstadt,48.14688,11.55766,Entire home/apt,156.0,2,0,1,0,0,Middle price,Short term,Private host
2424,Schwanthalerhöhe,48.13478,11.53611,Entire home/apt,141.0,1,26,2,179,0,Middle price,Medium term,Commercial host
2425,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.098766,11.499259,Entire home/apt,39.0,4,8,1,0,6,Low price,Short term,Private host
2426,Ramersdorf-Perlach,48.111755,11.617298,Entire home/apt,64.0,25,10,33,0,1,Low price,Short term,Commercial host
2427,Tudering-Riem,48.13348,11.69855,Entire home/apt,119.0,2,14,1,0,0,Middle price,Short term,Private host
2428,Maxvorstadt,48.1509,11.56147,Private room,69.0,1,3,1,88,0,Low price,Short term,Private host
2429,Au-Haidhausen,48.1277,11.60383,Hotel room,245.0,1,0,7,129,0,High price,Medium term,Commercial host
2430,Au-Haidhausen,48.12887,11.60442,Hotel room,277.0,1,0,7,129,0,High price,Medium term,Commercial host
2431,Au-Haidhausen,48.12887,11.60442,Hotel room,277.0,1,2,7,129,0,High price,Medium term,Commercial host
2432,Au-Haidhausen,48.12887,11.60442,Hotel room,178.0,1,1,7,129,0,Middle price,Medium term,Commercial host
2433,Au-Haidhausen,48.12773,11.60362,Hotel room,194.0,1,3,7,18,0,Middle price,Short term,Commercial host
2434,Maxvorstadt,48.14745,11.57503,Entire home/apt,206.0,5,68,2,126,19,High price,Medium term,Commercial host
2435,Maxvorstadt,48.15259,11.55523,Private room,111.0,1,4,3,179,0,Middle price,Medium term,Commercial host
2436,Obergiesing,48.11228,11.59467,Entire home/apt,108.0,2,11,1,0,0,Middle price,Short term,Private host
2437,Maxvorstadt,48.14546,11.57589,Entire home/apt,117.0,5,74,2,144,26,Middle price,Medium term,Commercial host
2438,Au-Haidhausen,48.1285,11.60187,Entire home/apt,240.0,5,0,1,0,0,High price,Short term,Private host
2439,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0837,11.50165,Private room,85.0,1,1,1,89,0,Middle price,Short term,Private host
2440,Sendling,48.11202,11.55307,Entire home/apt,119.0,2,1,1,0,0,Middle price,Short term,Private host
2441,Au-Haidhausen,48.12735,11.58409,Entire home/apt,153.0,33,22,2,32,1,Middle price,Short term,Commercial host
2442,Au-Haidhausen,48.13207,11.59751,Private room,89.0,2,1,1,172,1,Middle price,Medium term,Private host
2443,Bogenhausen,48.15167,11.61309,Entire home/apt,42.0,7,10,1,0,3,Low price,Short term,Private host
2444,Ludwigsvorstadt-Isarvorstadt,48.13113,11.56356,Private room,110.0,3,1,1,87,0,Middle price,Short term,Private host
2445,Ramersdorf-Perlach,48.111755,11.617298,Entire home/apt,64.0,25,26,33,0,7,Low price,Short term,Commercial host
2446,Schwabing-West,48.16669,11.55663,Entire home/apt,250.0,1,5,1,89,0,High price,Short term,Private host
2447,Berg am Laim,48.12116,11.62626,Private room,80.0,2,2,2,0,0,Middle price,Short term,Commercial host
2448,Neuhausen-Nymphenburg,48.15302,11.53335,Private room,140.0,6,0,1,90,0,Middle price,Short term,Private host
2449,Sendling,48.10406,11.53779,Entire home/apt,93.0,7,36,1,0,1,Middle price,Short term,Private host
2450,Maxvorstadt,48.14767,11.5773,Entire home/apt,80.0,5,2,1,35,1,Middle price,Short term,Private host
2451,Sendling-Westpark,48.11922,11.52386,Entire home/apt,171.0,30,1,26,90,0,Middle price,Short term,Commercial host
2452,Sendling,48.11073,11.53892,Private room,60.0,3,0,1,0,0,Low price,Short term,Private host
2453,Sendling,48.10479,11.53962,Private room,35.0,2,63,2,92,26,Low price,Medium term,Commercial host
2454,Schwabing-West,48.16807,11.57385,Entire home/apt,92.0,3,19,1,343,5,Middle price,Long term,Private host
2455,Neuhausen-Nymphenburg,48.14749,11.53981,Entire home/apt,170.0,30,0,3,90,0,Middle price,Short term,Commercial host
2456,Maxvorstadt,48.15222,11.57573,Entire home/apt,102.0,2,1,1,0,0,Middle price,Short term,Private host
2457,Berg am Laim,48.12233,11.61714,Entire home/apt,90.0,14,1,1,83,0,Middle price,Short term,Private host
2458,Schwabing-West,48.16322,11.56729,Entire home/apt,66.0,2,5,1,0,0,Low price,Short term,Private host
2459,Schwabing-West,48.15814,11.5631,Entire home/apt,132.0,2,0,1,0,0,Middle price,Short term,Private host
2460,Ramersdorf-Perlach,48.08585,11.64254,Private room,29.0,2,52,1,26,13,Low price,Short term,Private host
2461,Bogenhausen,48.1604,11.64977,Private room,25.0,1,7,4,0,0,Low price,Short term,Commercial host
2462,Bogenhausen,48.16269,11.65779,Private room,28.0,1,3,4,9,3,Low price,Short term,Commercial host
2463,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09085,11.49285,Private room,129.0,1,0,1,90,0,Middle price,Short term,Private host
2464,Allach-Untermenzing,48.18955,11.47327,Entire home/apt,137.0,2,29,2,49,3,Middle price,Short term,Commercial host
2465,Moosach,48.17763,11.51791,Entire home/apt,55.0,1,27,1,59,1,Low price,Short term,Private host
2466,Ludwigsvorstadt-Isarvorstadt,48.12456,11.56386,Entire home/apt,50.0,21,3,1,0,2,Low price,Short term,Private host
2467,Schwabing-Freimann,48.17448,11.59913,Private room,65.0,1,29,2,0,0,Low price,Short term,Commercial host
2468,Altstadt-Lehel,48.13241,11.57179,Entire home/apt,170.0,30,0,3,180,0,Middle price,Medium term,Commercial host
2469,Maxvorstadt,48.15334,11.56649,Private room,55.0,1,29,1,270,0,Low price,Long term,Private host
2470,Ramersdorf-Perlach,48.10364,11.65545,Private room,36.0,1,10,1,0,0,Low price,Short term,Private host
2471,Tudering-Riem,48.11011,11.71061,Entire home/apt,120.0,2,4,1,71,0,Middle price,Short term,Private host
2472,Schwabing-West,48.16875,11.56459,Private room,80.0,1,2,1,0,0,Middle price,Short term,Private host
2473,Maxvorstadt,48.15173,11.56861,Entire home/apt,114.0,2,0,1,0,0,Middle price,Short term,Private host
2474,Maxvorstadt,48.15117,11.5545,Entire home/apt,60.0,2,7,1,0,0,Low price,Short term,Private host
2475,Maxvorstadt,48.15528,11.57246,Entire home/apt,85.0,3,0,1,38,0,Middle price,Short term,Private host
2476,Tudering-Riem,48.1303,11.68482,Entire home/apt,59.0,2,100,1,183,25,Low price,Long term,Private host
2477,Schwabing-West,48.16219,11.56525,Entire home/apt,80.0,2,2,1,0,0,Middle price,Short term,Private host
2478,Pasing-Obermenzing,48.14699,11.45006,Shared room,41.0,1,9,1,364,1,Low price,Long term,Private host
2479,Bogenhausen,48.13875,11.62075,Entire home/apt,108.0,2,0,1,0,0,Middle price,Short term,Private host
2480,Schwanthalerhöhe,48.13774,11.54434,Private room,173.0,2,2,10,364,0,Middle price,Long term,Commercial host
2481,Schwanthalerhöhe,48.13596,11.53821,Private room,173.0,2,0,10,364,0,Middle price,Long term,Commercial host
2482,Maxvorstadt,48.14551,11.55409,Entire home/apt,185.0,1,0,3,179,0,Middle price,Medium term,Commercial host
2483,Ludwigsvorstadt-Isarvorstadt,48.12512,11.55614,Private room,50.0,2,18,1,171,0,Low price,Medium term,Private host
2484,Schwabing-West,48.17711,11.58092,Private room,50.0,3,11,2,121,0,Low price,Medium term,Commercial host
2485,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09122,11.49918,Private room,150.0,1,11,2,93,0,Middle price,Medium term,Commercial host
2486,Maxvorstadt,48.14975,11.54939,Private room,43.0,2,36,1,146,6,Low price,Medium term,Private host
2487,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08342,11.49479,Private room,38.0,1,5,2,299,2,Low price,Long term,Commercial host
2488,Ramersdorf-Perlach,48.11563,11.61423,Entire home/apt,50.0,3,28,1,0,4,Low price,Short term,Private host
2489,Sendling,48.12295,11.53931,Private room,148.0,1,0,1,364,0,Middle price,Long term,Private host
2490,Bogenhausen,48.15543,11.63636,Entire home/apt,108.0,2,1,1,0,0,Middle price,Short term,Private host
2491,Maxvorstadt,48.15225,11.5636,Entire home/apt,143.0,2,4,1,0,0,Middle price,Short term,Private host
2492,Au-Haidhausen,48.12392,11.57761,Private room,59.0,3,54,1,51,19,Low price,Short term,Private host
2493,Schwabing-Freimann,48.15929,11.58316,Entire home/apt,120.0,2,1,1,0,0,Middle price,Short term,Private host
2494,Schwabing-Freimann,48.17641,11.59808,Entire home/apt,194.0,2,12,2,13,7,Middle price,Short term,Commercial host
2495,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.07718,11.52268,Private room,120.0,1,0,1,83,0,Middle price,Short term,Private host
2496,Laim,48.14202,11.50721,Private room,40.0,2,17,1,1,0,Low price,Short term,Private host
2497,Pasing-Obermenzing,48.13763,11.4523,Private room,75.0,23,7,1,179,0,Low price,Medium term,Private host
2498,Berg am Laim,48.11936,11.64341,Entire home/apt,85.0,2,10,1,172,0,Middle price,Medium term,Private host
2499,Milbertshofen-Am Hart,48.1844,11.56427,Entire home/apt,300.0,1,2,1,90,0,High price,Short term,Private host
2500,Neuhausen-Nymphenburg,48.16654,11.51913,Private room,189.0,1,0,1,89,0,Middle price,Short term,Private host
2501,Au-Haidhausen,48.12637,11.57938,Entire home/apt,85.0,5,7,1,0,0,Middle price,Short term,Private host
2502,Schwanthalerhöhe,48.13774,11.54434,Private room,173.0,2,2,10,364,0,Middle price,Long term,Commercial host
2503,Neuhausen-Nymphenburg,48.14512,11.52948,Private room,32.0,14,2,1,0,0,Low price,Short term,Private host
2504,Maxvorstadt,48.14869,11.56042,Private room,82.0,2,0,1,73,0,Middle price,Short term,Private host
2505,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.07912,11.51214,Entire home/apt,90.0,1,9,1,364,3,Middle price,Long term,Private host
2506,Schwabing-West,48.15844,11.57093,Entire home/apt,198.0,4,0,1,17,0,Middle price,Short term,Private host
2507,Sendling,48.1133,11.54994,Entire home/apt,72.0,2,19,1,0,0,Low price,Short term,Private host
2508,Schwanthalerhöhe,48.14169,11.53752,Entire home/apt,96.0,2,18,1,0,0,Middle price,Short term,Private host
2509,Berg am Laim,48.12835,11.63169,Private room,59.0,2,36,1,89,0,Low price,Short term,Private host
2510,Moosach,48.18418,11.52064,Entire home/apt,100.0,4,0,1,173,0,Middle price,Medium term,Private host
2511,Ramersdorf-Perlach,48.08858,11.64224,Entire home/apt,77.0,1,27,1,178,0,Low price,Medium term,Private host
2512,Schwabing-West,48.16596,11.57285,Entire home/apt,72.0,2,0,1,0,0,Low price,Short term,Private host
2513,Sendling,48.11318,11.55102,Entire home/apt,99.0,90,14,2,176,0,Middle price,Medium term,Commercial host
2514,Schwabing-West,48.15846,11.57692,Entire home/apt,250.0,5,4,1,268,0,High price,Long term,Private host
2515,Ramersdorf-Perlach,48.11174,11.61734,Entire home/apt,64.0,25,16,33,0,2,Low price,Short term,Commercial host
2516,Milbertshofen-Am Hart,48.17711,11.5685,Entire home/apt,120.0,63,4,2,267,0,Middle price,Long term,Commercial host
2517,Ramersdorf-Perlach,48.11174,11.617343,Entire home/apt,64.0,25,2,33,5,1,Low price,Short term,Commercial host
2518,Au-Haidhausen,48.12912,11.60253,Entire home/apt,220.0,1,14,1,0,7,High price,Short term,Private host
2519,Pasing-Obermenzing,48.1499,11.46892,Entire home/apt,84.0,2,1,1,0,0,Middle price,Short term,Private host
2520,Altstadt-Lehel,48.13391,11.57959,Entire home/apt,367.0,1,60,1,305,17,High price,Long term,Private host
2521,Ludwigsvorstadt-Isarvorstadt,48.13024,11.579,Entire home/apt,99.0,1,93,4,80,18,Middle price,Short term,Commercial host
2522,Ramersdorf-Perlach,48.09704,11.64539,Entire home/apt,120.0,1,44,8,354,5,Middle price,Long term,Commercial host
2523,Schwanthalerhöhe,48.13774,11.54434,Private room,173.0,2,1,10,364,0,Middle price,Long term,Commercial host
2524,Schwabing-Freimann,48.16969,11.6026,Entire home/apt,175.0,3,2,1,87,0,Middle price,Short term,Private host
2525,Ramersdorf-Perlach,48.12063,11.60707,Private room,124.0,1,0,7,356,0,Middle price,Long term,Commercial host
2526,Schwabing-West,48.16467,11.57282,Entire home/apt,71.0,2,17,1,0,0,Low price,Short term,Private host
2527,Ludwigsvorstadt-Isarvorstadt,48.13642,11.56281,Entire home/apt,150.0,4,7,1,151,0,Middle price,Medium term,Private host
2528,Ludwigsvorstadt-Isarvorstadt,48.13081,11.57832,Entire home/apt,88.0,1,73,4,75,29,Middle price,Short term,Commercial host
2529,Schwabing-West,48.1639,11.57251,Entire home/apt,117.0,2,19,1,147,10,Middle price,Medium term,Private host
2530,Sendling,48.11769,11.54854,Private room,49.0,2,12,1,141,0,Low price,Medium term,Private host
2531,Untergiesing-Harlaching,48.10665,11.5657,Entire home/apt,72.0,2,6,1,0,0,Low price,Short term,Private host
2532,Bogenhausen,48.13898,11.61619,Entire home/apt,108.0,2,5,1,0,0,Middle price,Short term,Private host
2533,Ludwigsvorstadt-Isarvorstadt,48.12997,11.56345,Entire home/apt,160.0,2,0,1,0,0,Middle price,Short term,Private host
2534,Tudering-Riem,48.12999,11.69637,Private room,40.0,2,2,2,0,0,Low price,Short term,Commercial host
2535,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0901,11.51311,Entire home/apt,150.0,3,11,1,266,5,Middle price,Long term,Private host
2536,Maxvorstadt,48.15478,11.55933,Entire home/apt,89.0,1,3,1,89,0,Middle price,Short term,Private host
2537,Pasing-Obermenzing,48.14997,11.46468,Entire home/apt,79.0,10,0,2,0,0,Low price,Short term,Commercial host
2538,Pasing-Obermenzing,48.14856,11.46582,Private room,66.0,5,4,2,365,0,Low price,Long term,Commercial host
2539,Ramersdorf-Perlach,48.11616,11.60588,Entire home/apt,132.0,2,0,1,0,0,Middle price,Short term,Private host
2540,Schwanthalerhöhe,48.13775,11.54674,Private room,185.0,2,0,1,365,0,Middle price,Long term,Private host
2541,Obergiesing,48.11408,11.58661,Private room,32.0,1,69,1,110,8,Low price,Medium term,Private host
2542,Schwabing-West,48.16393,11.57157,Private room,26.0,1,54,1,61,6,Low price,Short term,Private host
2543,Hadern,48.11381,11.48423,Entire home/apt,100.0,2,56,1,160,17,Middle price,Medium term,Private host
2544,Schwanthalerhöhe,48.13774,11.54434,Private room,173.0,2,1,10,364,0,Middle price,Long term,Commercial host
2545,Feldmoching-Hasenbergl,48.1995,11.53047,Private room,115.0,1,14,1,364,0,Middle price,Long term,Private host
2546,Bogenhausen,48.14617,11.60161,Entire home/apt,75.0,3,2,1,0,0,Low price,Short term,Private host
2547,Maxvorstadt,48.1533,11.5547,Private room,49.0,2,1,2,51,0,Low price,Short term,Commercial host
2548,Neuhausen-Nymphenburg,48.14594,11.54115,Entire home/apt,80.0,1,16,1,280,5,Middle price,Long term,Private host
2549,Ludwigsvorstadt-Isarvorstadt,48.12945,11.57701,Private room,55.0,15,3,1,87,1,Low price,Short term,Private host
2550,Schwabing-West,48.15849,11.56592,Private room,90.0,2,6,1,90,1,Middle price,Short term,Private host
2551,Sendling-Westpark,48.1252,11.53767,Private room,60.0,1,15,1,88,1,Low price,Short term,Private host
2552,Tudering-Riem,48.11641,11.69618,Entire home/apt,98.0,7,0,1,173,0,Middle price,Medium term,Private host
2553,Ludwigsvorstadt-Isarvorstadt,48.13014,11.57838,Entire home/apt,91.0,1,79,4,83,27,Middle price,Short term,Commercial host
2554,Ramersdorf-Perlach,48.12066,11.6071,Hotel room,110.0,1,4,7,354,0,Middle price,Long term,Commercial host
2555,Ramersdorf-Perlach,48.12066,11.6071,Private room,137.0,2,0,7,356,0,Middle price,Long term,Commercial host
2556,Obergiesing,48.11268,11.58291,Private room,75.0,1,4,1,89,0,Low price,Short term,Private host
2557,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.07636,11.52554,Entire home/apt,112.0,4,2,1,0,1,Middle price,Short term,Private host
2558,Maxvorstadt,48.15284,11.5696,Entire home/apt,70.0,3,0,1,17,0,Low price,Short term,Private host
2559,Bogenhausen,48.13715,11.61761,Entire home/apt,95.0,14,7,1,0,0,Middle price,Short term,Private host
2560,Berg am Laim,48.13105,11.61718,Entire home/apt,96.0,2,11,1,0,0,Middle price,Short term,Private host
2561,Bogenhausen,48.14355,11.6174,Private room,35.0,5,20,1,0,0,Low price,Short term,Private host
2562,Schwanthalerhöhe,48.13923,11.54296,Entire home/apt,90.0,3,5,1,82,0,Middle price,Short term,Private host
2563,Ludwigsvorstadt-Isarvorstadt,48.13641,11.55692,Hotel room,70.0,1,52,4,0,27,Low price,Short term,Commercial host
2564,Altstadt-Lehel,48.13586,11.5842,Entire home/apt,144.0,2,0,1,0,0,Middle price,Short term,Private host
2565,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0857,11.48534,Entire home/apt,65.0,2,7,1,0,0,Low price,Short term,Private host
2566,Bogenhausen,48.1669,11.63619,Entire home/apt,60.0,2,8,1,0,1,Low price,Short term,Private host
2567,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08721,11.51923,Entire home/apt,120.0,2,27,2,84,0,Middle price,Short term,Commercial host
2568,Ramersdorf-Perlach,48.08768,11.63864,Entire home/apt,85.0,8,20,1,52,0,Middle price,Short term,Private host
2569,Neuhausen-Nymphenburg,48.15579,11.54956,Entire home/apt,108.0,2,1,1,0,0,Middle price,Short term,Private host
2570,Au-Haidhausen,48.12071,11.57703,Private room,70.0,2,14,1,363,1,Low price,Long term,Private host
2571,Maxvorstadt,48.15313,11.55569,Private room,49.0,2,2,2,23,0,Low price,Short term,Commercial host
2572,Bogenhausen,48.14002,11.60869,Entire home/apt,90.0,6,11,1,0,3,Middle price,Short term,Private host
