,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,clusters,cluster
441,31.0,1,55,2,359,2,dark purple
442,300.0,2,10,2,351,2,dark purple
443,63.0,2,4,3,0,0,pink
444,150.0,1,7,1,365,2,dark purple
445,31.0,1,101,1,139,0,pink
446,47.0,25,0,2,365,2,dark purple
447,48.0,1,61,1,177,0,pink
448,49.0,2,18,1,51,0,pink
449,22.0,2,195,1,226,2,dark purple
450,75.0,7,89,1,197,2,dark purple
451,230.0,2,43,1,154,0,pink
452,79.0,2,14,1,37,0,pink
453,220.0,2,6,1,1,0,pink
454,48.0,1,7,1,364,2,dark purple
455,120.0,3,2,1,83,0,pink
456,49.0,2,177,2,0,0,pink
457,39.0,2,114,2,357,2,dark purple
458,217.0,3,2,1,363,2,dark purple
459,70.0,6,105,1,0,0,pink
460,69.0,90,7,1,273,2,dark purple
461,69.0,1,0,1,87,0,pink
462,209.0,3,36,5,1,0,pink
463,214.0,3,38,5,0,0,pink
464,89.0,1,0,2,0,0,pink
465,74.0,3,31,5,8,0,pink
466,437.0,3,80,5,310,2,dark purple
467,60.0,110,0,2,23,0,pink
468,500.0,3,36,2,246,2,dark purple
469,120.0,10,2,1,0,0,pink
470,54.0,90,32,2,0,0,pink
471,95.0,1,4,1,365,2,dark purple
472,131.0,1,3,3,365,2,dark purple
473,270.0,2,18,1,166,2,dark purple
474,25.0,21,23,3,151,0,pink
475,31.0,7,4,1,30,0,pink
476,349.0,1,14,3,365,2,dark purple
477,89.0,3,186,1,331,2,dark purple
478,56.0,1,378,1,160,0,pink
479,60.0,2,258,1,82,0,pink
480,195.0,2,1,1,362,2,dark purple
481,99.0,3,4,1,259,2,dark purple
482,55.0,1,37,1,90,0,pink
483,98.0,13,0,2,90,0,pink
484,332.0,1,3,3,362,2,dark purple
485,39.0,3,105,1,65,0,pink
486,55.0,4,1,1,22,0,pink
487,221.0,2,35,1,286,2,dark purple
488,349.0,1,68,6,81,0,pink
489,75.0,1,15,1,104,0,pink
490,59.0,1,19,1,282,2,dark purple
491,80.0,30,52,8,13,0,pink
492,40.0,10,12,1,325,2,dark purple
493,80.0,3,80,1,124,0,pink
494,109.0,30,1,1,301,2,dark purple
495,135.0,3,37,1,345,2,dark purple
496,96.0,1,0,1,178,0,pink
497,60.0,4,0,1,41,0,pink
498,80.0,2,22,1,89,0,pink
499,380.0,2,4,1,208,2,dark purple
500,70.0,3,5,1,363,2,dark purple
501,99.0,7,50,1,1,0,pink
502,92.0,2,11,1,363,2,dark purple
503,60.0,1,1,1,364,2,dark purple
504,50.0,3,30,1,330,2,dark purple
505,95.0,1,292,4,57,0,pink
506,35.0,20,56,1,243,2,dark purple
507,231.0,3,28,5,17,0,pink
508,340.0,3,22,2,0,0,pink
509,36.0,14,6,1,236,2,dark purple
510,124.0,3,60,1,133,0,pink
511,120.0,5,4,1,52,0,pink
512,200.0,1,0,1,365,2,dark purple
513,80.0,5,64,8,21,0,pink
514,65.0,2,60,1,149,0,pink
515,55.0,1,21,1,51,0,pink
516,66.0,3,108,1,169,0,pink
517,50.0,1,448,1,307,2,dark purple
518,65.0,14,0,1,50,0,pink
519,60.0,1,23,1,82,0,pink
520,120.0,2,124,1,272,2,dark purple
521,56.0,3,95,1,0,0,pink
522,59.0,1,156,1,309,2,dark purple
523,69.0,2,58,1,226,2,dark purple
524,140.0,3,55,1,84,0,pink
525,67.0,2,47,1,0,0,pink
526,52.0,27,32,8,22,0,pink
527,120.0,6,6,1,14,0,pink
528,73.0,2,53,1,0,0,pink
529,120.0,5,7,2,51,0,pink
530,63.0,2,48,1,361,2,dark purple
531,49.0,3,30,1,108,0,pink
532,59.0,1,16,1,365,2,dark purple
533,51.0,2,11,2,180,0,pink
534,98.0,7,11,2,110,0,pink
535,110.0,1,1,1,69,0,pink
536,99.0,4,2,1,51,0,pink
537,56.0,4,26,1,30,0,pink
538,110.0,2,22,2,309,2,dark purple
539,27.0,3,139,3,145,0,pink
540,30.0,1,8,2,169,0,pink
541,98.0,4,45,1,342,2,dark purple
542,324.0,1,2,3,364,2,dark purple
543,88.0,180,63,1,207,2,dark purple
544,119.0,31,18,1,258,2,dark purple
545,36.0,3,116,1,0,0,pink
546,70.0,1,10,1,357,2,dark purple
547,70.0,14,0,1,357,2,dark purple
548,68.0,90,64,2,115,0,pink
549,34.0,4,81,2,362,2,dark purple
550,55.0,2,15,4,359,2,dark purple
551,199.0,2,147,1,97,0,pink
552,85.0,1,68,1,270,2,dark purple
553,60.0,2,0,1,365,2,dark purple
554,163.0,3,16,1,15,0,pink
555,60.0,3,17,1,82,0,pink
556,55.0,2,146,2,329,2,dark purple
557,70.0,2,17,1,179,0,pink
558,100.0,1,9,1,363,2,dark purple
559,200.0,7,33,1,362,2,dark purple
560,73.0,2,3,3,236,2,dark purple
561,105.0,3,20,2,355,2,dark purple
562,117.0,180,14,2,293,2,dark purple
563,85.0,7,3,1,31,0,pink
564,3000.0,2,0,1,365,1,purple
565,53.0,1,125,1,83,0,pink
566,199.0,7,1,1,0,0,pink
567,103.0,3,50,3,365,2,dark purple
568,45.0,1,44,1,4,0,pink
569,35.0,1,111,1,357,2,dark purple
570,66.0,2,62,1,18,0,pink
571,34.0,3,14,2,321,2,dark purple
572,45.0,1,138,1,306,2,dark purple
573,104.0,1,30,1,360,2,dark purple
574,540.0,1,0,1,364,2,dark purple
575,80.0,2,8,1,41,0,pink
576,150.0,4,11,1,365,2,dark purple
577,35.0,60,9,1,212,2,dark purple
578,43.0,1,193,2,0,0,pink
579,186.0,2,50,1,3,0,pink
580,305.0,2,44,1,260,2,dark purple
581,41.0,1,38,1,1,0,pink
582,330.0,2,20,2,18,0,pink
583,73.0,180,65,1,297,2,dark purple
584,86.0,2,33,1,125,0,pink
585,68.0,2,5,1,281,2,dark purple
586,66.0,4,28,1,52,0,pink
587,38.0,1,49,1,311,2,dark purple
588,39.0,1,12,1,238,2,dark purple
589,100.0,360,0,1,177,0,pink
590,80.0,1,40,1,277,2,dark purple
591,45.0,1,121,1,30,0,pink
592,60.0,1,152,2,0,0,pink
593,80.0,1,18,1,364,2,dark purple
594,250.0,1,73,1,294,2,dark purple
595,58.0,3,226,1,305,2,dark purple
596,75.0,10,71,1,0,0,pink
597,66.0,90,1,1,0,0,pink
598,75.0,5,43,1,263,2,dark purple
599,40.0,1,62,1,0,0,pink
600,26.0,2,32,1,51,0,pink
601,145.0,3,7,1,0,0,pink
602,68.0,2,77,1,142,0,pink
603,147.0,500,3,1,365,2,dark purple
604,22.0,15,13,1,136,0,pink
605,69.0,2,9,3,43,0,pink
606,36.0,3,171,1,334,2,dark purple
607,43.0,1,12,1,87,0,pink
608,69.0,3,12,3,43,0,pink
609,149.0,3,27,1,7,0,pink
610,95.0,1,389,1,257,2,dark purple
611,44.0,1,48,1,145,0,pink
612,80.0,21,4,1,364,2,dark purple
613,210.0,2,28,1,265,2,dark purple
614,99.0,2,72,1,126,0,pink
615,99.0,25,98,1,0,0,pink
616,229.0,2,16,1,0,0,pink
617,103.0,2,318,1,360,2,dark purple
618,106.0,1,2,1,364,2,dark purple
619,150.0,7,2,1,0,0,pink
620,49.0,178,0,4,267,2,dark purple
621,250.0,6,19,1,331,2,dark purple
622,100.0,2,18,1,365,2,dark purple
623,55.0,3,56,1,349,2,dark purple
624,50.0,2,14,1,151,0,pink
625,49.0,2,14,2,76,0,pink
626,84.0,1,140,1,6,0,pink
627,145.0,3,193,2,4,0,pink
628,70.0,2,215,1,0,0,pink
629,120.0,1,0,1,365,2,dark purple
630,250.0,1,21,1,90,0,pink
631,70.0,1,66,1,90,0,pink
632,38.0,2,23,1,35,0,pink
633,39.0,1,540,1,59,0,pink
634,149.0,3,4,1,20,0,pink
635,65.0,2,116,1,245,2,dark purple
636,46.0,2,19,1,0,0,pink
637,150.0,5,15,1,43,0,pink
638,170.0,2,0,1,365,2,dark purple
639,120.0,3,4,1,362,2,dark purple
640,66.0,30,22,1,0,0,pink
641,100.0,14,40,1,168,0,pink
642,89.0,2,61,1,170,0,pink
643,36.0,2,149,1,198,2,dark purple
644,100.0,5,97,1,364,2,dark purple
645,43.0,28,8,1,299,2,dark purple
646,70.0,3,21,1,0,0,pink
647,46.0,1,2,1,365,2,dark purple
648,80.0,2,5,1,358,2,dark purple
649,69.0,180,20,1,362,2,dark purple
650,50.0,2,162,1,328,2,dark purple
651,43.0,1,118,1,40,0,pink
652,250.0,1,0,1,365,2,dark purple
653,250.0,1,0,1,365,2,dark purple
654,67.0,1,39,1,0,0,pink
655,499.0,1,0,1,90,0,pink
656,69.0,1,40,1,82,0,pink
657,150.0,1,1,1,365,2,dark purple
658,65.0,1,0,1,365,2,dark purple
659,100.0,2,2,2,0,0,pink
660,54.0,18,16,1,203,2,dark purple
661,80.0,1,11,1,363,2,dark purple
662,250.0,3,0,1,177,2,dark purple
663,39.0,1,133,1,1,0,pink
664,50.0,2,19,1,231,2,dark purple
665,35.0,7,2,1,0,0,pink
666,45.0,1,34,1,176,0,pink
667,89.0,2,35,1,320,2,dark purple
668,70.0,2,23,1,364,2,dark purple
669,114.0,2,98,1,353,2,dark purple
670,200.0,1,0,1,365,2,dark purple
671,180.0,1,2,1,363,2,dark purple
672,78.0,1,13,1,365,2,dark purple
673,230.0,1,1,1,365,2,dark purple
674,50.0,2,3,1,365,2,dark purple
675,59.0,2,59,1,75,0,pink
676,43.0,1,297,1,72,0,pink
677,190.0,2,6,4,328,2,dark purple
678,65.0,3,85,2,174,0,pink
679,110.0,3,42,4,67,0,pink
680,283.0,2,7,1,365,2,dark purple
681,235.0,2,1,2,237,2,dark purple
682,599.0,5,9,2,308,2,dark purple
683,100.0,2,3,2,364,2,dark purple
684,99.0,40,96,1,239,2,dark purple
685,40.0,3,187,1,107,0,pink
686,199.0,2,17,1,158,0,pink
687,29.0,1,247,1,335,2,dark purple
688,140.0,1,0,1,365,2,dark purple
689,48.0,2,117,1,23,0,pink
690,59.0,2,93,1,341,2,dark purple
691,40.0,1,2,1,0,0,pink
692,49.0,1,374,1,258,2,dark purple
